Symbol,Increased_25_pct,Start_Date,End_Date,Percentage_Change,In_2020,Start_Month,End_Month
COLPAL,Yes,2019-05-02,2019-10-29,27.76%,No,5,10
COLPAL,Yes,2019-05-06,2019-11-04,34.25%,No,5,11
COLPAL,Yes,2019-06-03,2019-12-02,26.02%,No,6,12
COLPAL,Yes,2019-07-01,2019-12-30,30.64%,No,7,12
COLPAL,Yes,2023-02-01,2023-07-31,40.83%,No,2,7
COLPAL,Yes,2023-02-02,2023-08-01,39.07%,No,2,8
COLPAL,Yes,2023-03-01,2023-08-28,32.28%,No,3,8
COLPAL,Yes,2023-03-06,2023-09-04,30.33%,No,3,9
COLPAL,Yes,2023-06-01,2023-11-28,36.78%,No,6,11
COLPAL,Yes,2023-07-03,2024-01-01,48.70%,No,7,1
COLPAL,Yes,2023-08-01,2024-01-29,27.26%,No,8,1
COLPAL,Yes,2023-08-07,2024-02-05,28.22%,No,8,2
COLPAL,Yes,2023-09-01,2024-02-28,30.09%,No,9,2
COLPAL,Yes,2023-09-04,2024-03-04,34.18%,No,9,3
COLPAL,Yes,2023-10-03,2024-04-01,38.74%,No,10,4
COLPAL,Yes,2023-11-01,2024-04-29,36.47%,No,11,4
COLPAL,Yes,2023-11-03,2024-05-02,34.99%,No,11,5
COLPAL,Yes,2023-12-08,2024-06-05,30.78%,No,12,6
COLPAL,Yes,2024-04-01,2024-09-30,41.95%,No,4,9
CONCOR,Yes,2016-02-01,2016-08-01,27.02%,No,2,8
CONCOR,Yes,2016-11-21,2017-05-22,30.46%,No,11,5
CONCOR,Yes,2016-12-01,2017-05-30,27.00%,No,12,5
CONCOR,Yes,2016-12-05,2017-06-05,31.43%,No,12,6
CONCOR,Yes,2017-01-02,2017-07-03,27.47%,No,1,7
CONCOR,Yes,2017-03-01,2017-08-28,31.46%,No,3,8
CONCOR,Yes,2017-03-06,2017-09-04,32.93%,No,3,9
CONCOR,Yes,2017-04-03,2017-10-03,31.59%,No,4,10
CONCOR,Yes,2017-07-14,2018-01-10,26.40%,No,7,1
CONCOR,Yes,2019-05-13,2019-11-11,25.74%,No,5,11
CONCOR,Yes,2021-01-01,2021-06-30,73.12%,No,1,6
CONCOR,Yes,2022-05-04,2022-10-31,25.18%,No,5,10
CONCOR,Yes,2022-06-07,2022-12-05,25.02%,No,6,12
CONCOR,Yes,2023-08-01,2024-01-29,25.03%,No,8,1
CONCOR,Yes,2023-08-07,2024-02-05,34.15%,No,8,2
CONCOR,Yes,2023-09-01,2024-02-28,40.57%,No,9,2
CONCOR,Yes,2023-09-04,2024-03-04,45.89%,No,9,3
CONCOR,Yes,2023-10-03,2024-04-01,27.35%,No,10,4
CONCOR,Yes,2023-11-01,2024-04-29,56.40%,No,11,4
COROMANDEL,Yes,2015-12-09,2016-06-06,29.18%,No,12,6
COROMANDEL,Yes,2016-01-01,2016-06-29,37.06%,No,1,6
COROMANDEL,Yes,2016-01-04,2016-07-04,32.45%,No,1,7
COROMANDEL,Yes,2016-02-01,2016-08-01,56.19%,No,2,8
COROMANDEL,Yes,2016-03-01,2016-08-29,56.20%,No,3,8
COROMANDEL,Yes,2016-03-08,2016-09-06,58.82%,No,3,9
COROMANDEL,Yes,2016-04-01,2016-09-28,30.31%,No,4,9
COROMANDEL,Yes,2016-04-04,2016-10-03,29.35%,No,4,10
COROMANDEL,Yes,2016-05-02,2016-11-01,26.68%,No,5,11
COROMANDEL,Yes,2016-07-05,2017-01-02,39.29%,No,7,1
COROMANDEL,Yes,2016-08-02,2017-01-30,29.80%,No,8,1
COROMANDEL,Yes,2016-08-05,2017-02-01,27.55%,No,8,2
COROMANDEL,Yes,2016-09-01,2017-02-28,25.09%,No,9,2
COROMANDEL,Yes,2016-09-09,2017-03-08,25.40%,No,9,3
COROMANDEL,Yes,2016-10-13,2017-04-11,25.74%,No,10,4
COROMANDEL,Yes,2016-11-01,2017-05-02,26.56%,No,11,5
COROMANDEL,Yes,2016-12-01,2017-05-30,46.49%,No,12,5
COROMANDEL,Yes,2017-02-01,2017-07-31,39.35%,No,2,7
COROMANDEL,Yes,2017-05-02,2017-10-30,45.99%,No,5,10
COROMANDEL,Yes,2017-06-05,2017-12-04,25.41%,No,6,12
COROMANDEL,Yes,2019-07-01,2019-12-30,27.29%,No,7,12
COROMANDEL,Yes,2022-01-31,2022-08-01,34.31%,No,1,8
COROMANDEL,Yes,2024-11-01,2025-04-30,31.30%,No,11,4
CUMMINSIND,Yes,2016-11-04,2017-05-03,28.01%,No,11,5
CUMMINSIND,Yes,2016-12-02,2017-05-31,25.19%,No,12,5
CUMMINSIND,Yes,2018-06-18,2018-12-17,25.81%,No,6,12
CUMMINSIND,Yes,2018-07-02,2018-12-31,30.82%,No,7,12
CUMMINSIND,Yes,2018-07-05,2019-01-01,31.28%,No,7,1
CUMMINSIND,Yes,2021-01-01,2021-06-30,56.11%,No,1,6
CUMMINSIND,Yes,2021-01-04,2021-07-05,45.83%,No,1,7
CUMMINSIND,Yes,2021-02-12,2021-08-11,26.45%,No,2,8
CUMMINSIND,Yes,2021-03-01,2021-08-30,25.93%,No,3,8
CUMMINSIND,Yes,2021-03-17,2021-09-13,25.55%,No,3,9
CUMMINSIND,Yes,2021-10-04,2022-04-04,27.35%,No,10,4
CUMMINSIND,Yes,2022-01-31,2022-08-01,30.89%,No,1,8
CUMMINSIND,Yes,2022-05-02,2022-10-31,31.87%,No,5,10
CUMMINSIND,Yes,2022-05-05,2022-11-01,33.67%,No,5,11
CUMMINSIND,Yes,2022-06-01,2022-11-28,36.66%,No,6,11
CUMMINSIND,Yes,2022-08-16,2023-02-13,26.42%,No,8,2
CUMMINSIND,Yes,2022-09-01,2023-02-28,29.40%,No,9,2
CUMMINSIND,Yes,2022-09-02,2023-03-01,34.36%,No,9,3
CUMMINSIND,Yes,2022-12-15,2023-06-13,28.30%,No,12,6
CUMMINSIND,Yes,2023-02-01,2023-07-31,39.95%,No,2,7
CUMMINSIND,Yes,2023-08-04,2024-01-31,27.71%,No,8,1
CUMMINSIND,Yes,2023-11-01,2024-04-29,98.80%,No,11,4
CUMMINSIND,Yes,2024-04-01,2024-09-30,27.40%,No,4,9
CUMMINSIND,Yes,2024-04-04,2024-10-01,28.60%,No,4,10
DABUR,Yes,2016-01-15,2016-07-13,27.13%,No,1,7
DABUR,Yes,2016-02-02,2016-08-01,25.63%,No,2,8
DABUR,Yes,2017-05-05,2017-11-01,28.66%,No,5,11
DABUR,Yes,2018-03-01,2018-08-28,51.84%,No,3,8
DABUR,Yes,2018-03-05,2018-09-03,45.86%,No,3,9
DABUR,Yes,2018-04-02,2018-10-01,32.93%,No,4,10
DIVISLAB,Yes,2016-02-15,2016-08-16,28.43%,No,2,8
DIVISLAB,Yes,2016-03-01,2016-08-29,37.53%,No,3,8
DIVISLAB,Yes,2016-03-08,2016-09-06,31.37%,No,3,9
DIVISLAB,Yes,2016-04-01,2016-09-28,30.71%,No,4,9
DIVISLAB,Yes,2016-04-04,2016-10-03,28.62%,No,4,10
DIVISLAB,Yes,2017-05-02,2017-10-30,40.89%,No,5,10
DIVISLAB,Yes,2017-05-05,2017-11-01,49.28%,No,5,11
DIVISLAB,Yes,2017-06-01,2017-11-28,73.62%,No,6,11
DIVISLAB,Yes,2017-06-05,2017-12-04,65.88%,No,6,12
DIVISLAB,Yes,2017-07-03,2018-01-01,65.87%,No,7,1
DIVISLAB,Yes,2017-08-01,2018-01-29,66.71%,No,8,1
DIVISLAB,Yes,2017-08-07,2018-02-05,53.01%,No,8,2
DIVISLAB,Yes,2017-09-01,2018-02-28,45.77%,No,9,2
DIVISLAB,Yes,2017-09-04,2018-03-05,44.39%,No,9,3
DIVISLAB,Yes,2017-10-03,2018-04-02,27.44%,No,10,4
DIVISLAB,Yes,2017-11-01,2018-04-30,29.65%,No,11,4
DIVISLAB,Yes,2018-07-02,2018-12-31,42.24%,No,7,12
DIVISLAB,Yes,2021-01-15,2021-07-14,26.84%,No,1,7
DIVISLAB,Yes,2023-12-20,2024-06-18,26.09%,No,12,6
DIVISLAB,Yes,2024-02-01,2024-07-30,34.39%,No,2,7
DIXON,Yes,2017-09-27,2018-03-26,25.20%,No,9,3
DIXON,Yes,2017-10-06,2018-04-04,25.21%,No,10,4
DIXON,Yes,2017-11-01,2018-04-30,33.63%,No,11,4
DIXON,Yes,2017-11-02,2018-05-02,29.05%,No,11,5
DIXON,Yes,2019-04-08,2019-10-07,25.23%,No,4,10
DIXON,Yes,2019-05-02,2019-10-29,27.23%,No,5,10
DIXON,Yes,2019-05-06,2019-11-04,28.83%,No,5,11
DIXON,Yes,2019-06-03,2019-12-02,33.49%,No,6,12
DIXON,Yes,2019-07-01,2019-12-30,70.84%,No,7,12
DIXON,Yes,2021-01-01,2021-06-30,62.28%,No,1,6
DIXON,Yes,2021-01-04,2021-07-05,67.34%,No,1,7
DIXON,Yes,2021-02-01,2021-08-02,43.23%,No,2,8
DIXON,Yes,2023-02-01,2023-07-31,46.87%,No,2,7
DIXON,Yes,2023-03-01,2023-08-28,68.84%,No,3,8
DIXON,Yes,2023-03-06,2023-09-04,71.45%,No,3,9
DIXON,Yes,2023-06-01,2023-11-28,35.41%,No,6,11
DIXON,Yes,2023-07-03,2024-01-01,48.35%,No,7,1
DIXON,Yes,2023-08-01,2024-01-29,42.07%,No,8,1
DIXON,Yes,2023-08-07,2024-02-05,33.54%,No,8,2
DIXON,Yes,2023-09-01,2024-02-28,29.45%,No,9,2
DIXON,Yes,2023-12-01,2024-05-29,55.23%,No,12,5
DIXON,Yes,2023-12-04,2024-06-03,64.71%,No,12,6
DIXON,Yes,2024-04-01,2024-09-30,81.87%,No,4,9
DLF,Yes,2015-12-11,2016-06-08,28.57%,No,12,6
DLF,Yes,2016-01-04,2016-07-04,36.57%,No,1,7
DLF,Yes,2016-02-01,2016-08-01,69.87%,No,2,8
DLF,Yes,2016-03-01,2016-08-29,64.21%,No,3,8
DLF,Yes,2016-03-08,2016-09-06,43.33%,No,3,9
DLF,Yes,2016-04-01,2016-09-28,29.03%,No,4,9
DLF,Yes,2016-04-04,2016-10-03,28.72%,No,4,10
DLF,Yes,2016-10-26,2017-04-24,25.19%,No,10,4
DLF,Yes,2016-11-01,2017-05-02,26.61%,No,11,5
DLF,Yes,2016-12-01,2017-05-30,60.36%,No,12,5
DLF,Yes,2017-02-01,2017-07-31,34.46%,No,2,7
DLF,Yes,2017-05-29,2017-11-27,34.15%,No,5,11
DLF,Yes,2017-06-01,2017-11-28,31.54%,No,6,11
DLF,Yes,2017-06-05,2017-12-04,30.80%,No,6,12
DLF,Yes,2017-07-03,2018-01-01,33.60%,No,7,1
DLF,Yes,2017-08-01,2018-01-29,32.63%,No,8,1
DLF,Yes,2017-08-08,2018-02-05,29.16%,No,8,2
DLF,Yes,2017-09-25,2018-03-26,25.72%,No,9,3
DLF,Yes,2021-07-01,2021-12-28,38.56%,No,7,12
DLF,Yes,2023-05-02,2023-10-30,31.72%,No,5,10
DLF,Yes,2023-09-01,2024-02-28,78.64%,No,9,2
DLF,Yes,2023-11-01,2024-04-29,54.14%,No,11,4
DMART,Yes,2017-03-21,2017-09-18,69.81%,No,3,9
DMART,Yes,2017-04-03,2017-10-03,73.58%,No,4,10
DMART,Yes,2017-05-02,2017-10-30,52.59%,No,5,10
DMART,Yes,2017-05-05,2017-11-01,42.39%,No,5,11
DMART,Yes,2017-06-01,2017-11-28,45.23%,No,6,11
DMART,Yes,2017-06-05,2017-12-04,45.70%,No,6,12
DMART,Yes,2017-07-03,2018-01-01,39.34%,No,7,1
DMART,Yes,2017-08-01,2018-01-29,29.02%,No,8,1
DMART,Yes,2017-08-09,2018-02-05,25.65%,No,8,2
DMART,Yes,2017-09-01,2018-02-28,28.59%,No,9,2
DMART,Yes,2017-09-04,2018-03-05,28.77%,No,9,3
DMART,Yes,2017-10-09,2018-04-09,28.99%,No,10,4
DMART,Yes,2017-11-01,2018-04-30,29.42%,No,11,4
DMART,Yes,2017-11-02,2018-05-02,30.14%,No,11,5
DMART,Yes,2017-12-01,2018-05-30,40.52%,No,12,5
DMART,Yes,2017-12-04,2018-06-04,29.17%,No,12,6
DMART,Yes,2018-01-01,2018-07-02,30.36%,No,1,7
DMART,Yes,2018-02-01,2018-07-31,40.93%,No,2,7
DMART,Yes,2018-02-02,2018-08-01,47.10%,No,2,8
DMART,Yes,2019-04-03,2019-09-30,25.84%,No,4,9
DMART,Yes,2019-07-01,2019-12-30,32.08%,No,7,12
DMART,Yes,2021-03-01,2021-08-30,33.69%,No,3,8
DRREDDY,Yes,2016-01-13,2016-07-11,25.44%,No,1,7
DRREDDY,Yes,2018-03-23,2018-09-19,26.90%,No,3,9
DRREDDY,Yes,2018-05-21,2018-11-19,34.73%,No,5,11
DRREDDY,Yes,2018-06-01,2018-11-28,33.65%,No,6,11
DRREDDY,Yes,2018-06-04,2018-12-03,34.82%,No,6,12
DRREDDY,Yes,2018-07-19,2019-01-15,27.87%,No,7,1
DRREDDY,Yes,2018-08-09,2019-02-05,26.09%,No,8,2
DRREDDY,Yes,2023-02-01,2023-07-31,30.63%,No,2,7
DRREDDY,Yes,2023-02-02,2023-08-01,30.69%,No,2,8
DRREDDY,Yes,2023-03-01,2023-08-28,34.00%,No,3,8
EICHERMOT,Yes,2016-01-18,2016-07-18,29.78%,No,1,7
EICHERMOT,Yes,2016-02-01,2016-08-01,31.47%,No,2,8
EICHERMOT,Yes,2016-03-17,2016-09-14,25.98%,No,3,9
EICHERMOT,Yes,2016-04-01,2016-09-28,33.93%,No,4,9
EICHERMOT,Yes,2016-04-04,2016-10-03,32.26%,No,4,10
EICHERMOT,Yes,2016-05-02,2016-11-01,27.53%,No,5,11
EICHERMOT,Yes,2016-06-10,2016-12-07,25.57%,No,6,12
EICHERMOT,Yes,2016-11-11,2017-05-10,28.52%,No,11,5
EICHERMOT,Yes,2016-12-01,2017-05-30,27.57%,No,12,5
EICHERMOT,Yes,2016-12-05,2017-06-05,28.91%,No,12,6
EICHERMOT,Yes,2017-02-01,2017-07-31,25.61%,No,2,7
EICHERMOT,Yes,2017-03-01,2017-08-28,32.41%,No,3,8
EICHERMOT,Yes,2017-05-02,2017-10-30,25.94%,No,5,10
EICHERMOT,Yes,2022-06-02,2022-11-29,26.26%,No,6,11
EICHERMOT,Yes,2023-10-20,2024-04-18,25.00%,No,10,4
EICHERMOT,Yes,2023-11-01,2024-04-29,39.29%,No,11,4
ETERNAL,Yes,2022-05-12,2022-11-09,25.70%,No,5,11
ETERNAL,Yes,2022-12-22,2023-06-20,28.67%,No,12,6
ETERNAL,Yes,2023-01-04,2023-07-07,29.99%,No,1,7
ETERNAL,Yes,2023-01-30,2023-08-03,82.59%,No,1,8
ETERNAL,Yes,2023-02-01,2023-08-03,79.75%,No,2,8
ETERNAL,Yes,2023-03-01,2023-08-28,68.06%,No,3,8
ETERNAL,Yes,2023-03-06,2023-09-04,81.74%,No,3,9
ETERNAL,Yes,2023-04-03,2023-10-03,102.69%,No,4,10
ETERNAL,Yes,2023-05-02,2023-10-30,69.74%,No,5,10
ETERNAL,Yes,2023-06-01,2023-11-28,67.48%,No,6,11
ETERNAL,Yes,2023-06-05,2023-12-04,64.77%,No,6,12
ETERNAL,Yes,2023-07-07,2024-01-03,74.13%,No,7,1
ETERNAL,Yes,2023-08-03,2024-01-30,58.52%,No,8,1
ETERNAL,Yes,2023-08-07,2024-02-05,43.70%,No,8,2
ETERNAL,Yes,2023-09-01,2024-02-28,63.94%,No,9,2
ETERNAL,Yes,2023-09-04,2024-03-04,73.18%,No,9,3
ETERNAL,Yes,2023-10-03,2024-04-01,75.21%,No,10,4
ETERNAL,Yes,2023-11-01,2024-04-29,86.69%,No,11,4
ETERNAL,Yes,2023-11-03,2024-05-02,67.77%,No,11,5
ETERNAL,Yes,2023-12-01,2024-05-29,57.65%,No,12,5
ETERNAL,Yes,2024-02-01,2024-07-30,61.60%,No,2,7
ETERNAL,Yes,2024-04-01,2024-09-30,48.13%,No,4,9
ETERNAL,Yes,2024-07-01,2024-12-30,38.30%,No,7,12
EXIDEIND,Yes,2016-01-13,2016-07-11,25.76%,No,1,7
EXIDEIND,Yes,2016-02-01,2016-08-01,44.52%,No,2,8
EXIDEIND,Yes,2016-03-01,2016-08-29,40.53%,No,3,8
EXIDEIND,Yes,2016-03-08,2016-09-06,45.96%,No,3,9
EXIDEIND,Yes,2016-04-01,2016-09-28,34.98%,No,4,9
EXIDEIND,Yes,2016-04-04,2016-10-03,33.74%,No,4,10
EXIDEIND,Yes,2016-05-02,2016-11-01,41.94%,No,5,11
EXIDEIND,Yes,2016-10-17,2017-04-17,25.51%,No,10,4
EXIDEIND,Yes,2016-11-09,2017-05-08,25.59%,No,11,5
EXIDEIND,Yes,2016-12-01,2017-05-30,26.98%,No,12,5
EXIDEIND,Yes,2016-12-05,2017-06-05,28.69%,No,12,6
EXIDEIND,Yes,2018-02-01,2018-07-31,27.68%,No,2,7
EXIDEIND,Yes,2022-06-01,2022-11-28,26.20%,No,6,11
EXIDEIND,Yes,2022-06-06,2022-12-05,30.74%,No,6,12
EXIDEIND,Yes,2022-07-01,2022-12-28,25.81%,No,7,12
EXIDEIND,Yes,2022-07-04,2023-01-02,27.03%,No,7,1
EXIDEIND,Yes,2023-05-02,2023-10-30,33.07%,No,5,10
EXIDEIND,Yes,2023-08-04,2024-01-31,30.51%,No,8,1
EXIDEIND,Yes,2023-08-07,2024-02-05,31.98%,No,8,2
EXIDEIND,Yes,2023-11-01,2024-04-29,80.45%,No,11,4
FEDERALBNK,Yes,2016-01-12,2016-07-11,27.25%,No,1,7
FEDERALBNK,Yes,2016-02-01,2016-08-01,40.11%,No,2,8
FEDERALBNK,Yes,2016-03-01,2016-08-29,42.70%,No,3,8
FEDERALBNK,Yes,2016-03-08,2016-09-06,46.49%,No,3,9
FEDERALBNK,Yes,2016-04-01,2016-09-28,63.37%,No,4,9
FEDERALBNK,Yes,2016-04-04,2016-10-03,67.47%,No,4,10
FEDERALBNK,Yes,2016-05-02,2016-11-01,78.24%,No,5,11
FEDERALBNK,Yes,2016-06-01,2016-11-28,38.79%,No,6,11
FEDERALBNK,Yes,2016-06-06,2016-12-05,28.63%,No,6,12
FEDERALBNK,Yes,2016-07-18,2017-01-16,26.39%,No,7,1
FEDERALBNK,Yes,2016-08-03,2017-01-30,25.12%,No,8,1
FEDERALBNK,Yes,2016-08-08,2017-02-06,32.18%,No,8,2
FEDERALBNK,Yes,2016-09-01,2017-02-28,25.41%,No,9,2
FEDERALBNK,Yes,2016-09-02,2017-03-01,25.61%,No,9,3
FEDERALBNK,Yes,2016-10-13,2017-04-11,30.40%,No,10,4
FEDERALBNK,Yes,2016-11-01,2017-05-02,37.36%,No,11,5
FEDERALBNK,Yes,2016-12-01,2017-05-30,59.12%,No,12,5
FEDERALBNK,Yes,2016-12-05,2017-06-05,67.38%,No,12,6
FEDERALBNK,Yes,2017-02-01,2017-07-31,46.41%,No,2,7
FEDERALBNK,Yes,2021-01-01,2021-06-30,27.99%,No,1,6
FEDERALBNK,Yes,2022-05-02,2022-10-31,41.55%,No,5,10
FEDERALBNK,Yes,2022-07-01,2022-12-28,45.25%,No,7,12
FORTIS,Yes,2016-02-16,2016-08-16,26.70%,No,2,8
FORTIS,Yes,2016-07-12,2017-01-09,27.49%,No,7,1
FORTIS,Yes,2016-11-01,2017-05-02,26.95%,No,11,5
FORTIS,Yes,2021-01-01,2021-06-30,56.03%,No,1,6
FORTIS,Yes,2021-01-04,2021-07-05,58.62%,No,1,7
FORTIS,Yes,2021-03-01,2021-08-30,67.32%,No,3,8
FORTIS,Yes,2021-03-05,2021-09-01,60.32%,No,3,9
FORTIS,Yes,2021-04-01,2021-09-28,30.16%,No,4,9
FORTIS,Yes,2021-04-05,2021-10-04,27.71%,No,4,10
FORTIS,Yes,2021-05-20,2021-11-16,28.84%,No,5,11
FORTIS,Yes,2021-06-01,2021-11-29,25.30%,No,6,11
FORTIS,Yes,2021-06-04,2021-12-01,26.28%,No,6,12
FORTIS,Yes,2023-05-02,2023-10-30,25.78%,No,5,10
FORTIS,Yes,2023-08-02,2024-01-29,26.61%,No,8,1
FORTIS,Yes,2023-08-07,2024-02-05,34.39%,No,8,2
FORTIS,Yes,2023-09-01,2024-02-28,29.93%,No,9,2
FORTIS,Yes,2023-09-13,2024-03-11,25.80%,No,9,3
FORTIS,Yes,2023-10-03,2024-04-01,26.25%,No,10,4
FORTIS,Yes,2023-11-01,2024-04-29,35.37%,No,11,4
FORTIS,Yes,2023-12-18,2024-06-18,25.78%,No,12,6
FORTIS,Yes,2024-07-01,2024-12-30,54.23%,No,7,12
FORTIS,Yes,2025-02-01,2025-07-31,36.95%,No,2,7
GAIL,Yes,2016-07-29,2017-01-25,25.61%,No,7,1
GAIL,Yes,2016-08-01,2017-01-30,28.30%,No,8,1
GAIL,Yes,2016-08-05,2017-02-01,27.72%,No,8,2
GAIL,Yes,2016-09-01,2017-02-28,35.33%,No,9,2
GAIL,Yes,2016-09-02,2017-03-01,31.22%,No,9,3
GAIL,Yes,2016-10-03,2017-04-03,35.33%,No,10,4
GAIL,Yes,2016-11-01,2017-05-02,34.82%,No,11,5
GAIL,Yes,2016-12-01,2017-05-30,25.16%,No,12,5
GAIL,Yes,2016-12-05,2017-06-05,26.36%,No,12,6
GAIL,Yes,2017-06-12,2017-12-11,27.07%,No,6,12
GAIL,Yes,2021-01-01,2021-06-30,25.61%,No,1,6
GAIL,Yes,2023-01-30,2023-07-31,30.18%,No,1,7
GAIL,Yes,2023-02-01,2023-07-31,28.69%,No,2,7
GAIL,Yes,2023-02-02,2023-08-01,33.01%,No,2,8
GAIL,Yes,2023-11-01,2024-04-29,83.75%,No,11,4
GAIL,Yes,2024-03-01,2024-08-28,27.87%,No,3,8
GAIL,Yes,2024-03-13,2024-09-09,29.08%,No,3,9
GAIL,Yes,2024-04-01,2024-09-30,31.77%,No,4,9
GAIL,Yes,2024-04-04,2024-10-01,28.56%,No,4,10
GLENMARK,Yes,2018-03-09,2018-09-05,26.37%,No,3,9
GLENMARK,Yes,2018-05-10,2018-11-06,27.92%,No,5,11
GLENMARK,Yes,2021-01-01,2021-06-30,29.83%,No,1,6
GLENMARK,Yes,2021-01-04,2021-07-05,28.66%,No,1,7
GLENMARK,Yes,2021-02-01,2021-08-02,26.27%,No,2,8
GLENMARK,Yes,2022-10-11,2023-04-10,27.03%,No,10,4
GLENMARK,Yes,2022-10-31,2023-05-02,34.45%,No,10,5
GLENMARK,Yes,2022-11-01,2023-05-02,31.57%,No,11,5
GLENMARK,Yes,2022-12-01,2023-05-30,38.25%,No,12,5
GLENMARK,Yes,2022-12-05,2023-06-05,41.82%,No,12,6
GLENMARK,Yes,2023-02-01,2023-07-31,105.87%,No,2,7
GLENMARK,Yes,2023-03-01,2023-08-28,78.78%,No,3,8
GLENMARK,Yes,2023-04-03,2023-10-03,76.24%,No,4,10
GLENMARK,Yes,2023-05-02,2023-10-30,38.32%,No,5,10
GLENMARK,Yes,2023-06-01,2023-11-28,26.85%,No,6,11
GLENMARK,Yes,2023-06-05,2023-12-04,25.88%,No,6,12
GLENMARK,Yes,2023-07-03,2024-01-01,30.13%,No,7,1
GLENMARK,Yes,2023-09-26,2024-03-26,25.58%,No,9,3
GLENMARK,Yes,2023-11-01,2024-04-29,43.56%,No,11,4
GLENMARK,Yes,2024-04-01,2024-09-30,70.58%,No,4,9
GLENMARK,Yes,2024-07-01,2024-12-30,25.61%,No,7,12
GMRAIRPORT,Yes,2016-02-11,2016-08-09,33.33%,No,2,8
GMRAIRPORT,Yes,2016-03-17,2016-09-14,25.97%,No,3,9
GMRAIRPORT,Yes,2016-09-29,2017-03-28,33.60%,No,9,3
GMRAIRPORT,Yes,2016-10-06,2017-04-05,28.79%,No,10,4
GMRAIRPORT,Yes,2016-11-02,2017-05-02,29.43%,No,11,5
GMRAIRPORT,Yes,2016-12-01,2017-05-30,27.66%,No,12,5
GMRAIRPORT,Yes,2016-12-05,2017-06-05,40.34%,No,12,6
GMRAIRPORT,Yes,2017-01-02,2017-07-03,62.66%,No,1,7
GMRAIRPORT,Yes,2017-02-01,2017-07-31,43.51%,No,2,7
GMRAIRPORT,Yes,2017-05-29,2017-11-27,27.70%,No,5,11
GMRAIRPORT,Yes,2017-07-20,2018-01-16,26.40%,No,7,1
GMRAIRPORT,Yes,2019-05-03,2019-10-30,25.15%,No,5,10
GMRAIRPORT,Yes,2019-06-03,2019-12-02,42.21%,No,6,12
GMRAIRPORT,Yes,2019-07-01,2019-12-30,38.08%,No,7,12
GMRAIRPORT,Yes,2021-04-01,2021-09-28,43.40%,No,4,9
GMRAIRPORT,Yes,2021-04-05,2021-10-04,69.44%,No,4,10
GMRAIRPORT,Yes,2021-06-01,2021-11-29,45.72%,No,6,11
GMRAIRPORT,Yes,2021-08-02,2022-01-31,61.14%,No,8,1
GMRAIRPORT,Yes,2021-08-05,2022-02-01,63.41%,No,8,2
GMRAIRPORT,Yes,2021-09-01,2022-02-28,38.84%,No,9,2
GMRAIRPORT,Yes,2023-03-01,2023-08-28,58.62%,No,3,8
GMRAIRPORT,Yes,2023-11-01,2024-04-29,61.11%,No,11,4
GODFRYPHLP,Yes,2016-02-11,2016-08-09,30.85%,No,2,8
GODFRYPHLP,Yes,2016-04-20,2016-10-17,27.76%,No,4,10
GODFRYPHLP,Yes,2016-05-02,2016-11-01,58.88%,No,5,11
GODFRYPHLP,Yes,2016-11-16,2017-05-15,33.00%,No,11,5
GODFRYPHLP,Yes,2016-12-01,2017-05-30,31.30%,No,12,5
GODFRYPHLP,Yes,2016-12-05,2017-06-05,36.85%,No,12,6
GODFRYPHLP,Yes,2017-01-02,2017-07-03,26.35%,No,1,7
GODFRYPHLP,Yes,2018-06-01,2018-11-28,26.80%,No,6,11
GODFRYPHLP,Yes,2018-06-04,2018-12-03,28.49%,No,6,12
GODFRYPHLP,Yes,2018-07-04,2018-12-31,25.55%,No,7,12
GODFRYPHLP,Yes,2018-07-13,2019-01-09,25.26%,No,7,1
GODFRYPHLP,Yes,2018-09-19,2019-03-18,25.46%,No,9,3
GODFRYPHLP,Yes,2018-10-01,2019-04-01,52.80%,No,10,4
GODFRYPHLP,Yes,2018-11-01,2019-04-30,43.09%,No,11,4
GODFRYPHLP,Yes,2022-05-02,2022-10-31,25.24%,No,5,10
GODFRYPHLP,Yes,2022-08-01,2023-01-30,58.46%,No,8,1
GODFRYPHLP,Yes,2022-08-05,2023-02-01,57.29%,No,8,2
GODFRYPHLP,Yes,2022-09-01,2023-02-28,60.76%,No,9,2
GODFRYPHLP,Yes,2024-02-01,2024-07-30,73.55%,No,2,7
GODFRYPHLP,Yes,2024-03-01,2024-08-28,97.70%,No,3,8
GODFRYPHLP,Yes,2024-03-04,2024-09-02,123.30%,No,3,9
GODFRYPHLP,Yes,2024-04-01,2024-09-30,127.43%,No,4,9
GODFRYPHLP,Yes,2025-01-01,2025-06-30,78.27%,No,1,6
GODREJCP,Yes,2016-01-06,2016-07-04,25.76%,No,1,7
GODREJCP,Yes,2016-02-01,2016-08-01,26.28%,No,2,8
GODREJCP,Yes,2016-03-03,2016-08-30,26.00%,No,3,8
GODREJCP,Yes,2016-03-08,2016-09-06,29.81%,No,3,9
GODREJCP,Yes,2016-11-10,2017-05-09,28.22%,No,11,5
GODREJCP,Yes,2016-12-01,2017-05-30,25.21%,No,12,5
GODREJCP,Yes,2016-12-07,2017-06-05,26.22%,No,12,6
GODREJCP,Yes,2017-02-01,2017-07-31,29.02%,No,2,7
GODREJCP,Yes,2021-04-01,2021-09-28,45.03%,No,4,9
GODREJCP,Yes,2021-04-05,2021-10-04,42.54%,No,4,10
GODREJCP,Yes,2021-05-03,2021-11-01,37.40%,No,5,11
