Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Q_Revenue_2025-06-30,Q_Revenue_2025-03-31,Q_Revenue_2024-12-31,Q_Revenue_2024-09-30,Q_Revenue_2024-06-30,Q_Net_Income_2025-06-30,Q_Net_Income_2025-03-31,Q_Net_Income_2024-12-31,Q_Net_Income_2024-09-30,Q_Net_Income_2024-06-30,Q_Total_Assets_2025-03-31,Q_Total_Assets_2024-09-30,Q_Total_Assets_2024-03-31,Q_Total_Equity_2025-03-31,Q_Total_Equity_2024-09-30,Q_Total_Equity_2024-03-31,Earnings_2021,Earnings_2020,Q_Total_Assets_2025-06-30,Q_Total_Assets_2024-12-31,Q_Total_Assets_2024-06-30,Q_Total_Equity_2025-06-30,Q_Total_Equity_2024-12-31,Q_Total_Equity_2024-06-30,Q_Revenue_2025-09-30,Q_Net_Income_2025-09-30,Q_Total_Assets_2025-09-30,Q_Total_Equity_2025-09-30,Q_Op_Cashflow_2024-09-30,Q_Op_Cashflow_2024-06-30,Q_Op_Cashflow_2025-06-30,Q_Op_Cashflow_2025-03-31,Q_Op_Cashflow_2024-12-31,Q_Op_Cashflow_2025-09-30,Q_Revenue_2024-03-31,Q_Net_Income_2024-03-31,Q_Op_Cashflow_2024-03-31
UltraTech Cement Ltd.,ULTRACEMCO,3469021806592,60391100000.0,70050000000.0,50639600000.0,73443100000.0,212754500000.0,240388300000.0,171933300000.0,162944200000.0,188185600000.0,22259000000.0,20529700000.0,14695100000.0,7028200000.0,14948200000.0,1336971600000.0,1076106000000.0,1008020100000.0,738933600000.0,627698100000.0,602834200000.0,,,,,,,,,,,,,,,,,,,,,
Union Bank of India,UNIONBANK,1146720223232,180269508000.0,137971187000.0,85116600000.0,52653205000.0,141128400000.0,159414144000.0,139845900000.0,150921800000.0,143215000000.0,44279400000.0,50112108000.0,46230300000.0,47509300000.0,36417800000.0,15113294233000.0,14241999300000.0,,1138340782000.0,1076674100000.0,,,,14978824200000.0,14177544100000.0,14128859200000.0,1217112000000.0,1122536200000.0,1029579700000.0,,,,,,,,,,,,,
United Spirits Ltd.,UNITDSPR,1041105420288,15820000000.0,14080000000.0,11370000000.0,8286000000.0,30210000000.0,29750000000.0,34330000000.0,28440000000.0,27610000000.0,4170000000.0,4210000000.0,3350000000.0,3410000000.0,4850000000.0,132480000000.0,119550000000.0,112490000000.0,81040000000.0,76320000000.0,71210000000.0,,,,,,,,,,,,,,,,,,,,,
Varun Beverages Ltd.,VBL,1632993280000,,25946330000.0,20559220000.0,14974330000.0,70173710000.0,55669350000.0,31261880000.0,48046830000.0,71968620000.0,13170240000.0,7264880000.0,1851460000.0,6196130000.0,12526030000.0,,,,,,,6940520000.0,,247156500000.0,231439100000.0,193801570000.0,185066520000.0,167396360000.0,87459160000.0,,,,,,,,,,,,,
Vedanta Ltd.,VEDL,2346892918784,149880000000.0,42390000000.0,105740000000.0,188020000000.0,374340000000.0,397890000000.0,385260000000.0,371710000000.0,352390000000.0,31850000000.0,34830000000.0,35470000000.0,43520000000.0,36060000000.0,2032930000000.0,2051750000000.0,1908070000000.0,537530000000.0,471960000000.0,420690000000.0,,,,,,,,,,,,,,,,,,,,,
Vishal Mega Mart Ltd.,VMM,636743385088,6319670000.0,4619350000.0,3212730000.0,2027700000.0,31403190000.0,25321470000.0,31359380000.0,24362210000.0,,2060730000.0,1151120000.0,2627180000.0,1039880000.0,,99930450000.0,95517480000.0,85060840000.0,64013020000.0,58989900000.0,56218450000.0,,,,,91148150000.0,,,57787310000.0,29814870000.0,1523120000.0,110639580000.0,68980260000.0,1679120000.0,8239250000.0,,,,,,,
Vodafone Idea Ltd.,IDEA,1295206973440,-273834000000.0,-312384000000.0,-293011000000.0,-282454000000.0,110080000000.0,109500000000.0,111005000000.0,109182000000.0,,-66081000000.0,-71661000000.0,-66093000000.0,-71759000000.0,,1978666000000.0,1969966000000.0,1849977000000.0,-703202000000.0,-953960000000.0,-1041668000000.0,,,,,,,,,111696000000.0,-55242000000.0,1885480000000.0,-824602000000.0,,,,,,,,,
Voltas Ltd.,VOLTAS,456984887296,8413700000.0,2520000000.0,1350100000.0,5040900000.0,39122900000.0,47280300000.0,30873600000.0,26011500000.0,,1404600000.0,2410200000.0,1321300000.0,1339900000.0,,131520200000.0,118433600000.0,120357200000.0,65403000000.0,63121300000.0,58542100000.0,,,,,,,,,23143900000.0,342900000.0,128748600000.0,63936100000.0,,,,,,,,,
Waaree Energies Ltd.,WAAREEENER,876355518464,18673900000.0,12371800000.0,4827600000.0,756390000.0,44258300000.0,39349440000.0,34572880000.0,,34089000000.0,7452000000.0,6189120000.0,4925870000.0,,3941500000.0,197473800000.0,,113137400000.0,95952800000.0,,41484900000.0,,,,,119894780000.0,,,45524030000.0,,,,,,4582020000.0,,,,,29094560000.0,4615330000.0,
Wipro Ltd.,WIPRO,2789577064448,131354000000.0,110452000000.0,113500000000.0,122191000000.0,221346000000.0,225042000000.0,223188000000.0,223016000000.0,,33304000000.0,35696000000.0,33538000000.0,32088000000.0,,1286520000000.0,1260097000000.0,,830447000000.0,820141000000.0,,,,1307668000000.0,1302019000000.0,,870591000000.0,855812000000.0,,226973000000.0,32462000000.0,1310675000000.0,862620000000.0,42689000000.0,39959000000.0,41119000000.0,,,33872000000.0,,,
Yes Bank Ltd.,YESBANK,675579101184,24464926000.0,12852015000.0,7358186000.0,10640534000.0,41942500000.0,58386014000.0,37989200000.0,36818300000.0,35106000000.0,8086500000.0,7445326000.0,6193800000.0,5665900000.0,5160000000.0,4241159328000.0,4191295300000.0,,478356702000.0,464442800000.0,,,,4114032700000.0,4145206400000.0,4085554600000.0,487083000000.0,469882600000.0,456724100000.0,,,,,,,,,,,,,
Zydus Lifesciences Ltd.,ZYDUSLIFE,917232549888,45255000000.0,38595000000.0,19603000000.0,44873000000.0,64670000000.0,62902000000.0,51235000000.0,51136000000.0,60465000000.0,14668000000.0,11709000000.0,10235000000.0,9112000000.0,14199000000.0,372017000000.0,314459000000.0,292808000000.0,263584000000.0,241546000000.0,221016000000.0,,,,,,,,,,,,,,,,,,,,,
